ncbi_id	name
8790	Chordata
3567	None
52904	Chordata
7175	None
3039	None
9689	Felidae
6550	None
5551	None
5306	None
624	None
1148	None
11819	None
9825	Chordata
157914	None
6287	None
28985	None
523103	None
7370	None
29780	None
5791	None
34	None
11084	None
9555	Simiiformes
4043	None
8032	Chordata
375	None
9322	Chordata
668	None
5697	None
471	None
384	None
266	None
442169	Chordata
6500	None
1911	None
34256	None
11287	None
6453	None
9600	Simiiformes
37108	None
9581	Simiiformes
945	None
3435	None
59729	Chordata
8401	Chordata
622	None
40324	None
262676	None
29760	None
5875	None
9995	Chordata
57577	None
39367	None
3880	None
11520	None
260674	None
1310	None
57788	Chordata
11960	None
7769	Chordata
2099	None
9483	Simiiformes
11970	None
45617	None
6526	None
77643	None
28131	None
176652	None
1308	None
2261	None
6978	None
11002	None
27835	None
6945	None
56765	None
1302	None
11636	None
2336	None
548	None
9915	Chordata
944	None
2097	None
1642	None
7668	None
155892	None
8386	Chordata
29519	None
36087	None
74940	Chordata
5076	None
61674	Chordata
11207	None
669	None
7719	Chordata
9696	Felidae
8063	Chordata
571	None
7787	Chordata
7154	None
339	None
1781	None
289672	None
5665	None
5501	None
169066	None
30069	None
475271	None
59837	Chordata
11603	None
12420	None
3369	None
29518	None
8019	Chordata
1131	None
39352	None
3329	None
1421	None
11741	None
5699	None
9614	Canis
63405	None
1335	None
6954	None
4615	None
15957	None
11746	None
8049	Chordata
5518	None
9491	Simiiformes
29158	None
1809	None
