id	norm_category	category	manually created 20130127, normalized to match ContentSection
0	NULL	NULL
1	TITLE	title
2	ABSTRACT	abstract
3	INTRODUCTION	introduct
4	MAT_MET	materi and method
5	RESULTS	result
6	RESULTS	discuss
7	RESULTS	conclus
8	SUPL_MAT	supplementari materi
9	ABBREVIATIONS	abbrevi
10	RESULTS	result and discuss
11	REFERENCES	refer
12	TABLE	table
13	FIGURE	figure
